,Airlines_Name,Date Of Journey,Source,Destination,Arival,Departure,No. Of Stoppage,Price
0,IndiGo,27-Apr-2022,New Delhi,Mumbai,11:55,13:55,0,"7,319"
1,IndiGo,27-Apr-2022,New Delhi,Mumbai,06:30,08:35,0,"7,319"
2,IndiGo,27-Apr-2022,New Delhi,Mumbai,07:20,09:25,0,"7,319"
3,IndiGo,27-Apr-2022,New Delhi,Mumbai,10:45,12:50,0,"7,319"
4,IndiGo,27-Apr-2022,New Delhi,Mumbai,17:00,19:05,0,"7,319"
5,IndiGo,27-Apr-2022,New Delhi,Mumbai,02:00,04:10,0,"7,319"
6,Go First,27-Apr-2022,New Delhi,Mumbai,02:40,04:50,0,"7,319"
7,Air Asia,27-Apr-2022,New Delhi,Mumbai,04:25,06:35,0,"7,319"
8,Go First,27-Apr-2022,New Delhi,Mumbai,06:00,08:10,0,"7,319"
9,Go First,27-Apr-2022,New Delhi,Mumbai,14:00,16:10,0,"7,319"
10,IndiGo,27-Apr-2022,New Delhi,Mumbai,14:10,16:20,0,"7,319"
11,IndiGo,27-Apr-2022,New Delhi,Mumbai,15:25,17:35,0,"7,319"
12,IndiGo,27-Apr-2022,New Delhi,Mumbai,16:15,18:25,0,"7,319"
13,IndiGo,27-Apr-2022,New Delhi,Mumbai,19:45,21:55,0,"7,319"
14,Go First,27-Apr-2022,New Delhi,Mumbai,19:50,22:00,0,"7,319"
15,Go First,27-Apr-2022,New Delhi,Mumbai,07:00,09:15,0,"7,319"
16,SpiceJet,27-Apr-2022,New Delhi,Mumbai,07:20,09:35,0,"7,319"
17,IndiGo,27-Apr-2022,New Delhi,Mumbai,08:45,11:00,0,"7,319"
18,Go First,27-Apr-2022,New Delhi,Mumbai,10:55,13:10,0,"7,319"
19,Go First,27-Apr-2022,New Delhi,Mumbai,15:45,18:00,0,"7,319"
20,Go First,27-Apr-2022,New Delhi,Mumbai,18:40,20:55,0,"7,319"
21,SpiceJet,27-Apr-2022,New Delhi,Mumbai,18:55,21:10,0,"7,319"
22,SpiceJet,27-Apr-2022,New Delhi,Mumbai,19:45,22:00,0,"7,319"
23,SpiceJet,27-Apr-2022,New Delhi,Mumbai,21:40,23:55,0,"7,319"
24,IndiGo,27-Apr-2022,New Delhi,Mumbai,09:35,12:00,0,"7,319"
25,Go First,27-Apr-2022,New Delhi,Mumbai,20:50,23:20,0,"7,319"
26,IndiGo,27-Apr-2022,New Delhi,Mumbai,21:45,00:15,0,"7,319"
27,Go First,27-Apr-2022,New Delhi,Mumbai,12:10,18:25,1,"7,319"
28,Go First,27-Apr-2022,New Delhi,Mumbai,11:50,18:25,1,"7,319"
29,SpiceJet,27-Apr-2022,New Delhi,Mumbai,09:25,16:10,1,"7,319"
30,SpiceJet,27-Apr-2022,New Delhi,Mumbai,18:25,01:20,1,"7,319"
31,Go First,27-Apr-2022,New Delhi,Mumbai,09:25,17:15,1,"7,319"
32,Go First,27-Apr-2022,New Delhi,Mumbai,10:40,18:40,1,"7,319"
33,Go First,27-Apr-2022,New Delhi,Mumbai,07:30,15:55,1,"7,319"
34,Go First,27-Apr-2022,New Delhi,Mumbai,09:25,18:25,1,"7,319"
35,SpiceJet,27-Apr-2022,New Delhi,Mumbai,20:00,10:30,1,"7,319"
