,Airlines_Name,Date Of Journey,Source,Destination,Arival,Departure,No. Of Stoppage,Price
0,Go First,23-Apr-2022,New Delhi,Bengaluru,02:40,07:45,1," 8,159"
1,Go First,23-Apr-2022,New Delhi,Bengaluru,12:35,20:55,1," 8,159"
2,Go First,23-Apr-2022,New Delhi,Bengaluru,11:30,20:55,1," 8,159"
3,Go First,23-Apr-2022,New Delhi,Bengaluru,15:45,21:45,1," 8,159"
4,Go First,23-Apr-2022,New Delhi,Bengaluru,14:00,21:45,1," 8,159"
5,Go First,23-Apr-2022,New Delhi,Bengaluru,13:10,21:45,1," 8,159"
6,SpiceJet,23-Apr-2022,New Delhi,Bengaluru,14:55,22:30,1," 8,159"
7,IndiGo,23-Apr-2022,New Delhi,Bengaluru,18:00,23:40,1," 8,159"
8,IndiGo,23-Apr-2022,New Delhi,Bengaluru,15:00,23:40,1," 8,159"
9,IndiGo,23-Apr-2022,New Delhi,Bengaluru,13:25,23:40,1," 8,159"
10,IndiGo,23-Apr-2022,New Delhi,Bengaluru,19:30,00:50,1," 8,159"
11,Go First,23-Apr-2022,New Delhi,Bengaluru,22:45,07:45,1," 8,159"
12,AirAsia,23-Apr-2022,New Delhi,Bengaluru,06:05,13:00,1," 8,346"
13,AirAsia,23-Apr-2022,New Delhi,Bengaluru,10:00,17:30,1," 8,346"
14,AirAsia,23-Apr-2022,New Delhi,Bengaluru,13:00,20:05,1," 8,346"
15,AirAsia,23-Apr-2022,New Delhi,Bengaluru,16:15,22:25,2," 8,346"
16,SpiceJet,23-Apr-2022,New Delhi,Bengaluru,15:10,21:50,1," 8,789"
17,IndiGo,23-Apr-2022,New Delhi,Bengaluru,23:20,06:05,1," 9,367"
18,IndiGo,23-Apr-2022,New Delhi,Bengaluru,05:50,08:35,0," 9,682"
19,IndiGo,23-Apr-2022,New Delhi,Bengaluru,02:25,05:15,0," 9,997"
20,IndiGo,23-Apr-2022,New Delhi,Bengaluru,03:50,06:40,0," 9,997"
21,Air India,23-Apr-2022,New Delhi,Bengaluru,06:10,08:55,0," 10,050"
22,Vistara,23-Apr-2022,New Delhi,Bengaluru,06:15,09:00,0," 10,050"
23,Go First,23-Apr-2022,New Delhi,Bengaluru,05:50,08:35,0," 10,104"
24,SpiceJet,23-Apr-2022,New Delhi,Bengaluru,06:05,09:00,0," 10,259"
25,IndiGo,23-Apr-2022,New Delhi,Bengaluru,06:55,09:50,0," 10,417"
26,AirAsia,23-Apr-2022,New Delhi,Bengaluru,14:55,22:55,1," 10,686"
27,IndiGo,23-Apr-2022,New Delhi,Bengaluru,22:55,01:45,0," 10,837"
28,SpiceJet,23-Apr-2022,New Delhi,Bengaluru,21:25,00:05,0," 10,889"
29,IndiGo,23-Apr-2022,New Delhi,Bengaluru,06:40,13:10,1," 11,178"
30,IndiGo,23-Apr-2022,New Delhi,Bengaluru,21:30,00:15,0," 11,519"
31,AirAsia,23-Apr-2022,New Delhi,Bengaluru,21:40,00:30,0," 11,519"
32,IndiGo,23-Apr-2022,New Delhi,Bengaluru,01:50,08:15,1," 11,939"
33,Air India,23-Apr-2022,New Delhi,Bengaluru,17:15,20:15,0," 12,360"
34,IndiGo,23-Apr-2022,New Delhi,Bengaluru,12:55,18:50,1," 12,837"
35,Go First,23-Apr-2022,New Delhi,Bengaluru,20:30,23:20,0," 13,284"
36,IndiGo,23-Apr-2022,New Delhi,Bengaluru,20:10,23:00,0," 13,304"
37,Vistara,23-Apr-2022,New Delhi,Bengaluru,20:40,23:20,0," 13,305"
38,IndiGo,23-Apr-2022,New Delhi,Bengaluru,15:15,20:30,1," 13,357"
39,IndiGo,23-Apr-2022,New Delhi,Bengaluru,08:20,11:00,0," 14,354"
40,IndiGo,23-Apr-2022,New Delhi,Bengaluru,17:25,19:55,0," 14,354"
41,Go First,23-Apr-2022,New Delhi,Bengaluru,10:40,15:05,1," 14,612"
42,IndiGo,23-Apr-2022,New Delhi,Bengaluru,09:15,11:55,0," 14,875"
43,IndiGo,23-Apr-2022,New Delhi,Bengaluru,15:20,18:15,0," 14,875"
44,IndiGo,23-Apr-2022,New Delhi,Bengaluru,18:30,21:15,0," 14,875"
45,AirAsia,23-Apr-2022,New Delhi,Bengaluru,08:10,10:40,0," 14,879"
46,AirAsia,23-Apr-2022,New Delhi,Bengaluru,09:35,12:25,0," 14,879"
47,AirAsia,23-Apr-2022,New Delhi,Bengaluru,18:45,21:40,0," 14,879"
48,IndiGo,23-Apr-2022,New Delhi,Bengaluru,13:00,15:35,0," 15,719"
49,AirAsia,23-Apr-2022,New Delhi,Bengaluru,21:00,23:50,0," 15,751"
50,Vistara,23-Apr-2022,New Delhi,Bengaluru,08:05,10:50,0," 16,770"
51,Vistara,23-Apr-2022,New Delhi,Bengaluru,16:05,18:50,0," 16,770"
52,Vistara,23-Apr-2022,New Delhi,Bengaluru,19:50,22:40,0," 16,770"
53,IndiGo,23-Apr-2022,New Delhi,Bengaluru,11:30,14:15,0," 17,504"
54,Vistara,23-Apr-2022,New Delhi,Bengaluru,09:05,11:50,0," 20,340"
55,Air India,23-Apr-2022,New Delhi,Bengaluru,09:45,12:30,0," 20,340"
56,Air India,23-Apr-2022,New Delhi,Bengaluru,13:30,16:15,0," 20,340"
57,Vistara,23-Apr-2022,New Delhi,Bengaluru,17:35,20:25,0," 20,340"
58,Air India,23-Apr-2022,New Delhi,Bengaluru,21:50,00:40,0," 20,340"
59,IndiGo,23-Apr-2022,Bengaluru,New Delhi,20:30,23:15,0," 8,419"
60,SpiceJet,23-Apr-2022,Bengaluru,New Delhi,21:10,23:45,0," 8,419"
61,Go First,23-Apr-2022,Bengaluru,New Delhi,21:30,00:15,0," 8,419"
62,Air India,23-Apr-2022,Bengaluru,New Delhi,21:30,00:30,0," 8,419"
63,IndiGo,23-Apr-2022,Bengaluru,New Delhi,22:00,00:45,0," 8,419"
64,AirAsia,23-Apr-2022,Bengaluru,New Delhi,22:30,01:20,0," 8,419"
65,IndiGo,23-Apr-2022,Bengaluru,New Delhi,23:10,02:00,0," 8,419"
66,Go First,23-Apr-2022,Bengaluru,New Delhi,08:15,16:50,1," 8,419"
67,IndiGo,23-Apr-2022,Bengaluru,New Delhi,04:40,07:25,0," 8,892"
68,SpiceJet,23-Apr-2022,Bengaluru,New Delhi,16:35,22:50,1," 9,049"
69,SpiceJet,23-Apr-2022,Bengaluru,New Delhi,18:10,00:05,1," 9,049"
70,Vistara,23-Apr-2022,Bengaluru,New Delhi,21:15,23:50,0," 9,259"
71,IndiGo,23-Apr-2022,Bengaluru,New Delhi,06:00,08:45,0," 9,312"
72,Go First,23-Apr-2022,Bengaluru,New Delhi,04:45,07:40,0," 9,469"
73,AirAsia,23-Apr-2022,Bengaluru,New Delhi,09:00,14:20,1," 9,679"
74,AirAsia,23-Apr-2022,Bengaluru,New Delhi,13:40,19:20,1," 9,679"
75,IndiGo,23-Apr-2022,Bengaluru,New Delhi,00:45,03:30,0," 9,942"
76,IndiGo,23-Apr-2022,Bengaluru,New Delhi,11:45,14:40,0," 9,942"
77,IndiGo,23-Apr-2022,Bengaluru,New Delhi,19:15,22:00,0," 9,942"
78,Air India,23-Apr-2022,Bengaluru,New Delhi,06:10,08:55,0," 10,309"
79,SpiceJet,23-Apr-2022,Bengaluru,New Delhi,05:55,08:35,0," 10,519"
80,IndiGo,23-Apr-2022,Bengaluru,New Delhi,18:00,20:45,0," 10,603"
81,IndiGo,23-Apr-2022,Bengaluru,New Delhi,15:35,21:55,1," 11,438"
82,IndiGo,23-Apr-2022,Bengaluru,New Delhi,12:35,18:35,1," 12,147"
83,IndiGo,23-Apr-2022,Bengaluru,New Delhi,07:45,10:40,0," 12,304"
84,IndiGo,23-Apr-2022,Bengaluru,New Delhi,13:55,16:40,0," 12,304"
85,IndiGo,23-Apr-2022,Bengaluru,New Delhi,14:55,17:45,0," 12,304"
86,Vistara,23-Apr-2022,Bengaluru,New Delhi,18:50,21:35,0," 12,304"
87,Vistara,23-Apr-2022,Bengaluru,New Delhi,19:40,22:25,0," 12,304"
88,IndiGo,23-Apr-2022,Bengaluru,New Delhi,08:50,15:20,1," 12,514"
89,AirAsia,23-Apr-2022,Bengaluru,New Delhi,00:25,03:20,0," 13,141"
90,AirAsia,23-Apr-2022,Bengaluru,New Delhi,18:15,21:10,0," 13,141"
91,Go First,23-Apr-2022,Bengaluru,New Delhi,06:00,11:05,1," 13,321"
92,Vistara,23-Apr-2022,Bengaluru,New Delhi,07:00,09:40,0," 13,564"
93,IndiGo,23-Apr-2022,Bengaluru,New Delhi,09:20,12:10,0," 13,564"
94,IndiGo,23-Apr-2022,Bengaluru,New Delhi,16:30,19:15,0," 13,564"
95,Vistara,23-Apr-2022,Bengaluru,New Delhi,17:45,20:20,0," 13,564"
96,Air India,23-Apr-2022,Bengaluru,New Delhi,13:20,15:40,0," 13,774"
97,IndiGo,23-Apr-2022,Bengaluru,New Delhi,07:10,12:10,1," 13,879"
98,"Star Air, IndiGo",23-Apr-2022,Bengaluru,New Delhi,07:05,13:55,1," 14,568"
99,Vistara,23-Apr-2022,Bengaluru,New Delhi,08:00,10:40,0," 15,139"
100,Vistara,23-Apr-2022,Bengaluru,New Delhi,09:45,12:40,0," 15,139"
101,Air India,23-Apr-2022,Bengaluru,New Delhi,10:00,12:50,0," 15,349"
102,Air India,23-Apr-2022,Bengaluru,New Delhi,17:00,19:50,0," 15,349"
103,Vistara,23-Apr-2022,Bengaluru,New Delhi,11:30,14:10,0," 17,029"
104,AirAsia,23-Apr-2022,Bengaluru,New Delhi,06:10,08:55,0," 20,598"
105,AirAsia,23-Apr-2022,Bengaluru,New Delhi,11:15,13:55,0," 20,598"
